 5-1. 노선별 가로등 시설현황(시도),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ [(형태 : 마주보기-A, 지그재그-B, 한쪽-C, 중앙-D) (등주type : 원형-R, 팔각-E, STS-S, AL-A,) (표기 예시)알미늄재질원형 10m Y주 암2.5m=AR10Y-25 ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ 설치년도,광원,용량,형태,배전방식,등주타입 등이 다를때에는 다음 칸을 이용(같은 칸에서 Alt Enter 키 이용금지)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ 도로연장은 편측설치, 양측설치를 구분하고 실제 도로연장만 기재(가로등 설치연장 자동계산 됨)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ○ 교량하부등은 각종 하부통과도로 상에 있는 조명을 뜻하며 교량점검용 조명은 제외할 것 ,,,,,,,,,,,,," 6,756 ","1,205 "," 7,961 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"도로
구분","노선
번호",노선명,구 간,"노폭
(m)",도로연장(m),,"가로등
설치연장","설치
년도","조도
(lx)","경간
(m)",형태,"선로
배전
방식", 차도등 ,,,,보행등,,,"육교수
(개소)
/
등수",,,,교량하부등,,,터널등,,,,,지하(보)차도등,,,,,지하보도등,,,경관조명,,,"분전함
(수량)",비고
,,,,,편측,양측,,,,,,,등주type,본수,광원,등수,본수,광원,등수,"육교
(개소)",본수,광원,등수,"하부
(개소)",광원,등수,"터널
(개소)", 차도등 ,, 보행등 ,,"차도
(개소)", 차도등 ,, 보도등 ,,"보도
(개소)",광원,등수,"설치
(개소)",광원,등수,,
,,,,,,,(편+양×2),,,,,,,,,,,,,,,,,,,,,광원,등수,광원,등수,,광원,등수,광원,등수,,,,,,,,
,,송파대로,송파사거리,50 ,,,0 ,2010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,FL32 외,67 ,,,, 1 , 10 
,,송파대로,잠실대교~성남시계,,,,0 ,,,,,,,,,,,LED10, 60 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,가락시장앞,50 ,,,0 ,2016 , 30 , 28 , A ,2,SR12-28, 22 , LED150 , 25 ,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 , 7 
,,송파대로,가든5~새말로,50 , 750 ,,750 ,2015 , 30 , 30 , A ,2,SR10-25, 40 , CDM250 , 44 ,,CDM70, 36 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,잠실대교남단,50 ,,,0 ,2014 ,,, A ,2,SE10Y-25, 2 , CDM250 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,잠실사거리~석촌호수로,50 ,,550 ,"1,100 ",2016 , 30 , 28 , A ,2,SR12-28, 64 , LED150 , 80 ,,LED50, 41 ,,,,,,,,,,,,,,,,,,,,,,,, 2 , 15 
,,송파대로,장지교교차로~양재대로,50 ," 2,500 ",,"2,500 ",2017 , 30 , 23 , A ,2,R10-25, 130 , LED150 , 130 ,,LED50, 130 ,,,,,,,,,,,,,,,,,,,,,,,, 7 , 31 
,,송파대로,장지교교차로~양재대로,50 ,,,0 ,2017 , 30 , 23 , A ,2,R10-25-2등, 2 , LED150 , 4 ,,LED50, 2 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,장지교교차로~양재대로,50 ,,,0 ,2017 , 30 , 23 , A ,2,SE15-교차8, 2 , LED200 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,장지교교차로~양재대로,50 ,,,0 ,2017 , 30 , 23 , D ,2,R8-Y, 32 , LED150 , 64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,신천로,신천7~올림픽회관앞,20 ,,"1,510 ","3,020 ",2007 , 30 , 25 , A ,2,R10-25, 66 , MH350 , 66 ,,,,,,,,,,,,,,,,,,,,,,,,,,, 11 , 120 
,,신천로,신천8~올림픽회관앞,20 ,,,0 ,2007 , 30 ,,,2,R10-2등용, 8 , MH350 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,신천로,신천9~올림픽회관앞,20 ,,,0 ,2007 , 30 ,,,2,R12-4등용, 7 , MH350 , 28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,양산로,거여역~향나무길,,,,0 ,2007 , 30 ,, A ,2,R10-4등용, 2 , MH350 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,양산로,거여역~향나무길,,,,0 ,2007 , 30 ,, A ,2,R10-20, 28 , MH350 , 28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,오금로,잠실나루역입구~구청~방이고가,35 ,,"2,000 ","4,000 ",2007,30,30,A,2,R10-25, 84 , MH350 , 84 ,,CDM70, 37 ,,,,,,,,,,,,,,,,,,,,,,,, , 
,,오금로,잠실나루역입구~구청~방이고가,35 ,,,0 ,2008,30,36,A,2,R10-25, 40 ,MH350, 40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,오금로,잠실나루역입구~구청~방이고가,35 ,,,0 ,2008,30,30,,2,SE12-교차4, 12 , MH350 , 48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,오금로,방이고가~문정로,35 ,,"1,700 ","3,400 ",2014 ,15,30,A,2,SE10-25, 121 ,CDM150, 129 ,,CDM70, 101 ,,,,,,,,,,,,,,,,,,,,,,,, 21 , 206 
,,오금로,잠실나루역입구~구청~방이고가,35 ,,,0 ,2008,30,36,A,2,SE10-28, 20 ,CDM250, 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,오금로,잠실나루역입구~구청~방이고가,35 ,,,0 ,2008,30,30,,2,SE10-교차3, 3 ,CDM250, 9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,오금로,잠실나루역입구~구청~방이고가,35 ,,,0 ,2008,30,36,A,2,SE10Y-28, 11 ,CDM250, 22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,오금로,비호아파트앞,35 ,,,0 ,1997 ,30,36,,2,SE10-교차3, 1 ,CDM250, 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,오금로,비호아파트앞,35 ,,,0 ,1995 ,30,36,A,2,SE10-25, 3 ,CDM250, 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,오금로,거여역~마천로,35 ,,680 ,"1,360 ",2015 ,16,30,A,2,SE10-25, 38 ,LED90, 40 ,,LED25, 38 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,오금로,문정로~거여역,35 ,,450 ,900 ,2015 ,16,30,A,2,SE10-25, 35 ,LED90, 35 ,,LED40, 31 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,오금로,거여고가하부,35 ,,40 ,80 ,2015 ,16,30,A,2,SE5, 4 ,LED90, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,오금로,경찰서옆,, 80 ,,80 ,2012 ,30,30,,2,E8-20, 3 ,CDM250, 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,오금로,"송파사거리(오금로1-21,오금로191)",,,,,2018 ,,,,2,신호등통합폴,,CDM250, 3 ,,CDM70, 3 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽대교길,대교남단~강동대로,40 , 330 ,,330 ,1988 ,20,35,A,2,E10-20, 13 ,CDM250, 13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,삼성교~운동장사거리,40 ,,"5,100 ","10,200 ",2004 ,20,30,A,2,R10-20, 29 , CDM250 , 29 ,,,   ,,,,,,,,,,,,,1 ,NA250,14 ,,,,,,,,, 20 , 259 
,,올림픽로,잠실역~구청앞사거리,40 , 600 ,600 ,"1,800 ",2014 ,30,30,AD,2,SR10-25, 31 ,LED150, 31 ,,LED50, 31 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,잠실역~구청앞사거리,40 ,,,,2014 ,30,30,AD,2,SR10Y-25, 18 ,LED150, 36 ,,LED50, 18 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,잠실역~구청앞사거리(중앙분리대),40 ,,,,2014 ,30,30,AD,2,SR10Y-25, 11 ,LED150, 22 ,,LED50,,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,구청앞사거리~평화의문,40 ,,500 ,"1,000 ",2017 ,20,30,A,2,R10-25, 35 ,LED100, 35 ,,LED50, 35 ,,,,,,,,,,,,,,,,,,,,,,,, 3 , 12 
,,올림픽로,구청앞사거리~평화의문,40 , 500 ,,500 ,2017 ,20,25,A,2,R10Y-25, 1 ,LED100, 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,구청앞사거리~평화의문(중앙),40 , 500 ,,500 ,2017 ,20,25,D,2,R10Y-25, 16 ,LED100, 32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,구청앞사거리~평화의문,40 ,,,0 ,2017 ,20,25,A,2,R10-교차4, 1 ,LED200, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,구청앞사거리~평화의문,40 ,,,0 ,2018 ,20,25,A,2,신호등통합폴,,LED200, 2 ,,LED50, 2 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,삼성교~운동장사거리,40 ,,,0 ,1999 ,30,,,2,SE10-교차4, 1 , CDM250 , 4 ,,,,,,,,,,,,,,,,,,,,,,LED22,267 ,,,,,
,,올림픽로,잠실길~잠실역,40 ,,,0 ,1999 ,30,,,2,SR10-교차4, 5 , CDM250 , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,운동장사거리~잠실새내역,40 ,,,0 ,2004 ,30,30,A,2,SR12-28, 40 , CDM250 , 40 ,,CDM100, 41 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,운동장사거리~잠실새내역,40 ,,,0 ,2004 ,30,30,A,2,SR12-28, 2 ,LED150, 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,삼성교~운동장사거리,40 ,,,0 ,2003 ,30,,A,2,SR12-30, 70 , CDM250 , 70 ,,LED60, 69 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,잠실역~운동장사거리,40 ,,,0 ,2003 ,30,,,2,SR12-교차4, 8 ,LED150, 32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,삼성교~운동장사거리,40 ,,,0 ,2004 ,30,30,,2,SR12-교차4, 2 , CDM250 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,삼성교~운동장사거리,40 ,,,0 ,2004 ,30,30,,2,SR12-교차4, 1 , CDM250 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,삼성교~운동장사거리,40 ,,,0 ,2003 ,30,,A,2,SR12Y-25, 37 , CDM250 , 74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,운동장사거리~삼성교,40 ,,,0 ,2004 ,30,30,A,2,SR12Y-28, 12 , CDM250 , 24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,삼성교~잠실삼사거리,40 ,,,0 ,2014 ,30,,A,2,SR12Y-25, 48 ,LED150, 96 ,,,,,,,,,,,,,,,,1 ,NA250,14 ,,,2 ,FL32외,564 ,,,, 5 , 69 
,,올림픽로,잠실2동주민센터 맞은편,40 ,,,0 ,2018 ,40,,A,2,횡단보도 집중조명,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,LED80,4 ,,
,,올림픽로,잠실2동주민센터 앞,,,,,2018 ,30,,,2,신호등통합폴,,LED150, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,위례성대로,중대로(올림픽선수촌삼거리)~거여동길,70 ,,"2,060 ","4,120 ",2006 ,30,32,AB,2,R12-28, 16 ,MH350, 16 ,,MH100, 16 ,,,,,,,,,,,,,,,,,,,,,,,, 15 , 151 
,,위례성대로,거마로신설구간,70 ,,,0 ,2005 ,30,,A,2,SR12-28, 19 ,MH350, 19 ,,MH100, 19 ,,,,,,,,,,,,,,,,,,,,,,,,   ,
,,위례성대로,전력구공사구간,70 ,,,0 ,2008 ,30,,A,2,SR12-28, 12 ,MH350, 12 ,,MH100, 12 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,위례성대로,평화의문~올림픽공원사거리,70 ,,,0 ,2005 ,30,,,2,SR12-교차4, 8 ,MH350, 32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,위례성대로,거마로신설구간,70 ,,,0 ,2005 ,30,,,2,SR12Y-28, 1 ,MH350, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,위례성대로,남부순환로~중대로(녹지대),70 ,,,0 ,2006 ,30,32,AB,2,SR12Y-28, 25 ,MH350, 50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,위례성대로(공원),평화의문~올림픽공원사거리,70 ,,,0 ,2005 ,30,32,AB,2,SR12-28, 70 ,MH350, 70 ,,MH100, 76 ,,,,,,,,,,,,,,,,,,,,,,,,   ,
,,위례성대로(공원),평화의문~올림픽공원사거리,70 ,,,0 ,2005 ,30,,,2,SR12Y-28, 11 ,MH350, 22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,위례성대로(선수촌@),공원사거리~선수촌삼거리,70 ,,,0 ,2005 ,30,32,AB,2,SR12-28, 28 ,MH350, 28 ,,MH100, 32 ,,,,,,,,,,,,,,,,,,,,,,,,   ,
,,위례성대로(선수촌@),공원사거리~선수촌삼거리,70 ,,,0 ,2005 ,30,,,2,SR12-28, 37 ,MH350, 74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,위례성대로(선수촌@),공원사거리~선수촌삼거리,70 ,,,0 ,2005 ,30,,,2,SR12-교차4, 1 ,MH350, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,위례성대로,오륜사거리~성내천로25길,30 ,,"1,250 ","2,500 ",2012 ,30,30,,2,SR10-25, 35 ,CDM250, 35 ,,,,,,,,,,,1 ,CDM250,20 ,MH70,5 ,,,,,,,,,,,, 2 , 23 
,,위례성대로,오륜사거리~성내천로25길,30 ,,"1,250 ","2,500 ",2012 ,30,30,,2,SR10-25, 25 ,LED150, 25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,위례성대로,오륜사거리~성내천로25길,30 ,,,0 ,2012 ,30,30,,2,SR10-교차4, 2 ,CDM250, 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,위례성대로,평화의문~올림픽공원사거리,30 ,,,0 ,2018 ,30,30,,2,SR12-28, 9 ,LED150, 9 ,,LED50, 9 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,위례성대로,평화의문~올림픽공원사거리(분리대),30 ,,,0 ,2018 ,30,30,,2,SR12Y-28, 4 ,LED150, 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,위례성대로,평화의문~올림픽공원사거리,30 ,,,0 ,2018 ,30,30,,2,SR10-교차4, 1 ,LED200, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,위례성대로,평화의문~올림픽공원사거리,30 ,,,0 ,2018 ,30,30,,2,신호등통합폴,,LED200, 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,중대로,선수촌삼거리~경찰병원,,,,0 ,2005 ,30,, A ,2,SE10-교차3, 2 ,MH350, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,중대로,선수촌삼거리~경찰병원,,,,0 ,2005 ,30,, A ,2,SR12-28, 106 ,MH350, 106 ,,MH70, 7 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,중대로,선수촌삼거리~경찰병원,,,,0 ,2005 ,30,, A ,2,SR12-28, 2 ,MH350, 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,중대로,광평교~선수촌삼거리,30 ,,"3,300 ","6,600 ",2006 , 30 , 25 , A ,2,SR12-28, 98 ,MH350, 98 ,,MH100, 152 ,,,,,,,,,,,,,,,,,,,,,,,, 11 , 86 
,,천호대로,천호대교남단~천호역,, 450 ,,450 ,1997 , 30 , 25 , A ,2,R10-25, 15 ,MH350, 15 ,,CDM70, 15 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,평화의광장~강동대로,40 ,,"1,000 ","2,000 ",2016 , 30 , 30 , A ,2,SR10-25, 64 , LED125 , 68 ,,LED30, 61 ,,,,,,,,,,,,,,,,,,,,,,,, 4 , 13 
,,올림픽로,평화의광장~강동대로,,,,0 ,2016 , 30 , 30 , B ,2,SR5-10,,,,14 ,LED30, 14 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,평화의광장~강동대로,40 ,,,0 ,2016 , 30 , 30 , A ,2,SR10-R4, 5 , LED200 , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,올림픽로,평화의광장~천호대로,40 ,,,0 ,1999 , 30 ,,,2,SE10-교차3, 8 , CDM250 , 24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,헌릉로,복정사거리~대곡교,50 ,,510 ,"1,020 ",2010 ,22,,A,2,E10-25, 26 ,CDM250, 26 ,,MH100, 4 ,,,,,1 ,CDM250,20 ,,,,,,,,,,,,,,,,, 3 , 12 
,,올림픽로,천호사거리~영파여고,40 , 600 ,,600 ,2015,22,30,A,2,SE10-25,21 ,LED100,24 ,,LED35,21 ,,,,,,,,,,,,,,,,,,,,,,,,1 ,20 
,,올림픽로,강동대로~영파여고,40 ," 1,080 ",,"1,080 ",2015,22,40,A,2,SE10-25,32 ,LED120,46 ,,LED25,32 ,,,,,,,,,,,,,,,,,,,,,,,,2 ,43 
,,올림픽로,구청앞 사거리,40 ,,,0 ,2009 ,22,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,FL32외,134 ,,,, 1 , 33 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
